location,Year,Lifeexpectancy,Alcohol,percentageexpenditure,Measles,BMI,HIV/AIDS,Schooling,incomeGroup
Albania,2006,74.2,5.31,3.3021542,68,5.8,0.1,11.4,Upper middle income
Albania,2005,73.5,5.16,26.99312143,6,49.9,0.1,10.8,Upper middle income
Albania,2004,73.0,4.54,221.8428,7,48.9,0.1,10.9,Upper middle income
Albania,2003,72.8,4.29,14.71928882,8,47.9,0.1,10.7,Upper middle income
Albania,2002,73.3,3.73,104.5169157,16,46.9,0.1,10.7,Upper middle income
Albania,2001,73.6,4.25,96.20557078,18,46.0,0.1,10.6,Upper middle income
Albania,2000,72.6,3.66,91.71154052,662,45.0,0.1,10.7,Upper middle income
Algeria,2014,75.4,0.01,54.2373183,0,58.4,0.1,14.4,Lower middle income
Algeria,2013,75.3,0.53,544.4507432,25,57.2,0.1,14.4,Lower middle income
Algeria,2012,75.1,0.66,555.9260833999998,18,56.1,0.1,14.4,Lower middle income
Algeria,2011,74.9,0.56,509.0020405,112,55.0,0.1,14.0,Lower middle income
Algeria,2010,74.7,0.45,430.71758610000006,103,53.9,0.1,13.6,Lower middle income
Algeria,2009,74.4,0.5,352.0636419,107,52.8,0.1,13.1,Lower middle income
Algeria,2008,74.1,0.46,43.08717334,217,51.8,0.1,12.6,Lower middle income
Algeria,2007,73.8,0.44,320.32392410000006,0,5.8,0.1,12.3,Lower middle income
Algeria,2006,73.4,0.36,270.2401962,944,49.8,0.1,12.3,Lower middle income
Algeria,2005,72.9,0.5,2.548922758,2302,48.9,0.1,12.0,Lower middle income
Algeria,2004,72.3,0.45,220.39369900000003,3289,47.9,0.1,11.7,Lower middle income
Algeria,2003,71.7,0.34,25.0185226,15374,47.0,0.1,11.5,Lower middle income
Algeria,2002,71.6,0.36,148.51198430000005,5862,46.1,0.1,11.1,Lower middle income
Algeria,2001,71.4,0.23,147.9860714,2686,45.3,0.1,10.9,Lower middle income
Algeria,2000,71.3,0.25,154.4559436,0,44.4,0.1,10.7,Lower middle income
Angola,2014,51.7,8.33,23.965612,11699,22.7,2.0,11.4,Lower middle income
Angola,2013,51.1,8.1,35.95857279,8523,22.1,2.3,11.4,Lower middle income
Angola,2012,56.0,8.24,256.1225243,4458,21.5,2.6,10.3,Lower middle income
Angola,2011,51.0,8.06,239.8913921,1449,21.0,2.5,9.4,Lower middle income
Angola,2010,49.6,7.8,191.6537407,1190,2.4,2.5,9.0,Lower middle income
Angola,2009,49.1,7.01,212.92293250000003,2807,19.8,2.5,8.5,Lower middle income
Angola,2008,48.7,7.07,249.9101958,265,19.3,2.6,8.1,Lower middle income
Angola,2007,48.2,6.35,184.8213446,1014,18.8,2.6,7.7,Lower middle income
Angola,2006,47.7,5.84,25.08688824,765,18.2,2.5,7.2,Lower middle income
Angola,2005,47.4,5.04,98.19145117,258,17.7,2.6,6.8,Lower middle income
Angola,2004,47.1,3.53,8.8667775,29,17.2,2.5,6.4,Lower middle income
Angola,2003,46.8,3.49,35.93349121,1196,16.8,2.4,5.9,Lower middle income
Angola,2002,46.5,2.82,24.037942,11945,16.3,2.3,5.5,Lower middle income
Angola,2001,45.7,2.58,30.35993647,9046,15.8,2.1,5.1,Lower middle income
Angola,2000,45.3,1.85,15.88149254,2219,15.4,2.0,4.6,Lower middle income
AntiguaandBarbuda,2014,76.2,8.56,2422.999774,0,47.0,0.2,13.9,High income
AntiguaandBarbuda,2013,76.1,8.58,1991.430372,0,46.4,0.2,13.9,High income
AntiguaandBarbuda,2012,75.9,8.18,2156.229842,0,45.7,0.2,13.8,High income
AntiguaandBarbuda,2011,75.7,7.84,1810.875316,0,45.1,0.1,14.1,High income
AntiguaandBarbuda,2010,75.6,7.84,1983.956937,0,44.4,0.1,14.1,High income
AntiguaandBarbuda,2009,75.4,7.82,149.3587355,0,43.8,0.1,14.2,High income
AntiguaandBarbuda,2008,75.2,8.27,180.7762695,0,43.2,0.1,14.4,High income
AntiguaandBarbuda,2007,75.0,8.64,257.96653080000004,0,42.6,0.1,14.5,High income
AntiguaandBarbuda,2006,74.8,8.93,216.3146941,0,42.0,0.1,14.7,High income
AntiguaandBarbuda,2005,74.6,8.15,1455.608186,0,41.4,0.1,0.0,High income
AntiguaandBarbuda,2004,74.4,7.28,22.86295206,0,4.8,0.1,0.0,High income
AntiguaandBarbuda,2003,74.2,7.16,1158.065259,0,4.1,0.1,0.0,High income
AntiguaandBarbuda,2002,74.0,7.21,927.4075855,0,39.5,0.1,0.0,High income
AntiguaandBarbuda,2001,73.8,7.51,163.7676978,0,38.9,0.1,0.0,High income
AntiguaandBarbuda,2000,73.6,7.27,1127.74347,0,38.2,0.1,0.0,High income
Argentina,2014,76.2,7.93,847.3717462999998,1,62.2,0.1,17.3,Upper middle income
Argentina,2013,76.0,8.28,1001.796332,0,61.6,0.1,17.3,Upper middle income
Argentina,2012,75.9,8.35,1133.558003,2,61.0,0.1,17.2,Upper middle income
Argentina,2011,75.7,8.11,1504.329462,3,6.4,0.1,17.1,Upper middle income
Argentina,2010,75.5,8.15,187.610955,17,59.8,0.1,16.8,Upper middle income
Argentina,2009,75.6,8.33,1398.042623,3,59.2,0.1,16.5,Upper middle income
Argentina,2008,75.4,8.41,1413.7354300000004,0,58.6,0.1,16.3,Upper middle income
Argentina,2007,74.8,8.16,1105.659031,0,58.0,0.1,16.3,Upper middle income
Argentina,2006,75.2,7.75,961.1774676,0,57.5,0.1,16.1,Upper middle income
Argentina,2005,74.9,7.53,96.16653429,0,56.9,0.1,16.3,Upper middle income
Argentina,2004,74.7,7.63,719.3663797,0,56.3,0.1,16.3,Upper middle income
Argentina,2003,74.1,7.62,57.58467352,0,55.7,0.1,16.4,Upper middle income
Argentina,2002,74.1,7.81,470.1869145,0,55.1,0.1,16.3,Upper middle income
Argentina,2001,74.0,7.76,123.01286709999998,0,54.6,0.1,15.6,Upper middle income
Argentina,2000,74.1,7.68,1349.025282,6,54.0,0.1,15.0,Upper middle income
Armenia,2014,74.6,3.91,295.6087143000001,13,54.1,0.1,12.7,Upper middle income
Armenia,2013,74.4,3.79,279.4290812,10,53.3,0.1,12.7,Upper middle income
Armenia,2012,74.4,3.89,274.1526986,0,52.6,0.1,12.7,Upper middle income
Armenia,2011,73.9,4.09,260.9963826,0,51.9,0.1,12.7,Upper middle income
Armenia,2010,73.5,4.23,224.3212014,2,51.2,0.1,12.3,Upper middle income
Armenia,2009,73.3,3.96,201.1855461,0,5.7,0.1,11.9,Upper middle income
Armenia,2008,73.2,3.96,2.8888979,0,5.1,0.1,12.3,Upper middle income
Armenia,2007,73.5,3.99,44.57219966,1,49.7,0.1,11.7,Upper middle income
Armenia,2006,72.9,4.01,244.5352767,137,49.2,0.1,11.2,Upper middle income
Armenia,2005,73.0,4.25,20.21822828,2281,48.8,0.1,10.9,Upper middle income
Armenia,2004,73.0,3.81,97.74087744,1783,48.4,0.1,10.9,Upper middle income
Armenia,2003,72.7,3.03,7.341493148,4,48.1,0.1,10.8,Upper middle income
Armenia,2002,72.6,2.86,57.17810403,40,47.8,0.1,10.8,Upper middle income
Armenia,2001,72.6,2.86,53.19373012,69,47.4,0.1,11.1,Upper middle income
Armenia,2000,72.0,2.9,32.75626853,15,47.1,0.1,11.2,Upper middle income
Australia,2014,82.7,9.71,10769.36305,340,66.1,0.1,20.4,High income
Australia,2013,82.5,9.87,11734.85381,158,65.5,0.1,20.3,High income
Australia,2012,82.3,10.03,11714.99858,199,65.0,0.1,20.1,High income
Australia,2011,82.0,10.3,10986.26527,190,64.4,0.1,19.8,High income
Australia,2010,81.9,10.52,8875.786493000001,70,63.9,0.1,19.5,High income
Australia,2009,81.7,10.62,7172.275229000002,104,63.4,0.1,19.1,High income
Australia,2008,81.3,10.76,8547.292356999998,65,62.9,0.1,19.1,High income
Australia,2007,81.3,10.56,872.5986092,11,62.5,0.1,19.0,High income
Australia,2006,81.2,10.31,6187.062017,0,62.0,0.1,20.3,High income
Australia,2005,81.0,10.3,579.1331637,10,61.5,0.1,20.3,High income
Australia,2004,86.0,9.84,588.568371,70,6.9,0.1,20.7,High income
Australia,2003,83.0,9.97,3829.550928,91,6.3,0.1,20.6,High income
Australia,2002,79.9,9.84,46.3871819,32,59.6,0.1,20.1,High income
Australia,2001,79.9,9.53,3064.301144,141,59.0,0.1,20.5,High income
Australia,2000,79.5,10.17,347.18736,108,58.2,0.1,20.4,High income
Austria,2014,81.4,12.32,8350.193523,117,57.1,0.1,15.9,High income
Austria,2013,81.1,11.82,90.58501176,0,56.6,0.1,15.7,High income
Austria,2012,88.0,12.26,7878.372354999998,36,56.1,0.1,15.7,High income
Austria,2011,88.0,12.04,8272.306756999997,68,55.7,0.1,15.7,High income
Austria,2010,84.0,12.1,7423.228773999998,52,55.2,0.1,15.4,High income
Austria,2009,82.0,11.3,8053.557637999998,49,54.7,0.1,15.3,High income
Austria,2008,84.0,12.0,8329.731655,448,54.2,0.1,15.1,High income
Austria,2007,81.0,12.5,7453.8644,20,53.7,0.1,15.2,High income
Austria,2006,79.8,12.4,69.92899358,23,53.2,0.1,15.0,High income
Austria,2005,79.4,12.4,5992.588029,9,52.7,0.1,14.9,High income
Austria,2004,79.3,12.1,5316.877456,15,52.2,0.1,14.7,High income
Austria,2003,78.8,12.2,504.4308735,90,51.7,0.1,14.7,High income
Austria,2002,78.7,12.5,3979.057728,0,51.2,0.1,16.1,High income
Austria,2001,78.6,12.4,3582.848308,0,5.6,0.1,15.5,High income
Austria,2000,78.1,13.2,3557.455507,0,5.1,0.1,15.4,High income
Azerbaijan,2014,72.5,0.01,306.1824313,0,51.5,0.1,12.2,Upper middle income
Azerbaijan,2013,72.2,2.14,275.6514934,164,5.6,0.1,11.9,Upper middle income
Azerbaijan,2012,71.9,0.01,285.6103912,0,49.7,0.1,11.8,Upper middle income
Azerbaijan,2011,71.6,1.98,263.14269900000005,0,48.8,0.1,11.7,Upper middle income
Azerbaijan,2010,71.1,1.98,246.5686008,0,48.0,0.1,11.7,Upper middle income
Azerbaijan,2009,78.0,2.1,22.48638351,0,47.3,0.1,11.6,Upper middle income
Azerbaijan,2008,73.0,1.18,206.2616134,5,46.6,0.1,11.6,Upper middle income
Azerbaijan,2007,73.0,1.02,176.01071059999995,0,45.9,0.1,11.6,Upper middle income
Azerbaijan,2006,69.2,0.85,105.6337264,222,45.3,0.1,10.7,Upper middle income
Azerbaijan,2005,68.4,0.73,81.28883085,1238,44.7,0.1,11.2,Upper middle income
Azerbaijan,2004,68.4,0.62,8.59680496,827,44.2,0.1,11.0,Upper middle income
Azerbaijan,2003,67.8,0.55,42.41491183,1978,43.6,0.1,10.8,Upper middle income
Azerbaijan,2002,67.8,0.55,39.33253687,4353,43.1,0.1,10.6,Upper middle income
Azerbaijan,2001,67.5,0.51,4.104190077,574,42.6,0.1,10.4,Upper middle income
Azerbaijan,2000,66.6,0.65,35.09462644,210,42.1,0.1,10.1,Upper middle income
Bahamas,2014,75.4,9.45,0.0,0,63.8,0.1,12.6,High income
Bahamas,2013,74.8,9.42,0.0,0,63.2,0.1,12.6,High income
Bahamas,2012,74.9,9.5,0.0,0,62.6,0.2,12.6,High income
Bahamas,2011,75.0,9.34,0.0,0,62.0,0.1,12.6,High income
Bahamas,2010,75.0,9.19,0.0,0,61.3,0.2,12.6,High income
Bahamas,2009,74.6,9.29,0.0,0,6.7,0.1,12.6,High income
Bahamas,2008,74.5,10.15,0.0,0,6.1,0.1,12.6,High income
Bahamas,2007,74.4,10.75,0.0,0,59.4,0.1,12.5,High income
Bahamas,2006,74.2,11.07,0.0,0,58.7,0.1,12.4,High income
Bahamas,2005,74.1,10.49,0.0,0,58.1,0.1,12.4,High income
Bahamas,2004,73.8,10.1,0.0,0,57.4,0.1,12.3,High income
Bahamas,2003,73.2,10.68,0.0,0,56.7,0.1,12.2,High income
Bahamas,2002,73.1,10.85,0.0,0,56.0,0.1,12.1,High income
Bahamas,2001,72.9,11.64,0.0,0,55.2,0.2,12.1,High income
Bahamas,2000,72.6,12.15,0.0,0,54.4,0.1,12.0,High income
Bahrain,2014,76.8,1.57,367.2556742,46,62.9,0.1,14.5,High income
Bahrain,2013,76.7,1.65,3.968695982,0,62.2,0.1,14.5,High income
Bahrain,2012,76.5,1.7,2211.215778,0,61.5,0.1,14.5,High income
Bahrain,2011,76.1,1.66,197.7734681,0,6.8,0.1,14.4,High income
Bahrain,2010,76.1,1.93,266.7696122,0,6.1,0.1,14.4,High income
Bahrain,2009,76.0,1.95,332.9347646,3,59.3,0.1,14.4,High income
Bahrain,2008,75.8,2.0,231.5478912,2,58.5,0.1,14.4,High income
Bahrain,2007,75.6,2.0,278.3602806,7,57.6,0.1,14.4,High income
Bahrain,2006,75.5,2.1,170.7374027,3,56.8,0.1,14.2,High income
Bahrain,2005,75.3,2.05,1553.468944,4,56.1,0.1,14.0,High income
Bahrain,2004,75.2,2.16,1380.228095,11,55.6,0.1,13.9,High income
Bahrain,2003,75.0,2.16,1214.558167,12,55.2,0.1,13.7,High income
Bahrain,2002,74.9,1.99,106.43033359999998,8,55.0,0.1,13.5,High income
Bahrain,2001,74.7,1.95,1150.418063,5,54.8,0.1,13.3,High income
Bahrain,2000,74.5,2.15,167.7270642,6,54.5,0.1,13.2,High income
Bangladesh,2014,71.4,0.01,10.44640334,289,17.7,0.1,10.0,Lower middle income
Bangladesh,2013,71.0,0.01,52.82986467,237,17.0,0.1,10.0,Lower middle income
Bangladesh,2012,77.0,0.01,59.2589257,1986,16.4,0.1,9.9,Lower middle income
Bangladesh,2011,73.0,0.01,62.34988484,5625,15.8,0.1,9.4,Lower middle income
Bangladesh,2010,69.9,0.01,62.65945432,788,15.2,0.1,8.9,Lower middle income
Bangladesh,2009,69.5,0.01,53.26400378,718,14.6,0.1,8.4,Lower middle income
Bangladesh,2008,69.1,0.01,42.48865034,2660,14.0,0.1,8.6,Lower middle income
Bangladesh,2007,68.6,0.01,46.36536703,2924,13.5,0.1,8.6,Lower middle income
Bangladesh,2006,68.2,0.01,42.3304549,6192,13.0,0.1,8.4,Lower middle income
Bangladesh,2005,67.8,0.01,38.05462002,25934,12.5,0.1,8.2,Lower middle income
Bangladesh,2004,67.3,0.01,4.11469667,9743,12.0,0.1,8.1,Lower middle income
Bangladesh,2003,66.8,0.01,35.48458957,4067,11.6,0.1,7.9,Lower middle income
Bangladesh,2002,66.3,0.01,0.397228764,3484,11.2,0.1,7.7,Lower middle income
Bangladesh,2001,65.8,0.01,3.395069781,4414,1.8,0.1,7.5,Lower middle income
Bangladesh,2000,65.3,0.01,3.69633051,5098,1.4,0.1,7.3,Lower middle income
Barbados,2014,75.4,8.82,294.9056584,0,53.7,0.1,15.3,High income
Barbados,2013,75.2,8.74,263.0372838,0,53.0,0.1,15.3,High income
Barbados,2012,75.1,8.61,260.0043858,0,52.2,0.1,15.3,High income
Barbados,2011,74.9,8.51,173.9825629,0,51.4,0.1,15.5,High income
Barbados,2010,74.7,8.41,154.9630863,0,5.7,0.1,15.8,High income
Barbados,2009,74.6,8.46,327.1618128,0,49.9,0.1,15.5,High income
Barbados,2008,74.4,8.95,25.52277112,0,49.2,0.1,15.3,High income
Barbados,2007,74.2,8.47,1641.30981,0,48.4,0.1,15.0,High income
Barbados,2006,74.1,8.39,181.5000856,0,47.7,0.1,14.8,High income
Barbados,2005,73.9,8.01,1311.440423,0,46.9,0.1,14.6,High income
Barbados,2004,73.8,7.68,166.00834430000003,0,46.2,0.2,14.4,High income
Barbados,2003,73.7,7.65,13.513991699999998,0,45.4,0.4,14.2,High income
Barbados,2002,73.5,7.59,133.099491,0,44.6,0.8,14.0,High income
Barbados,2001,73.4,7.38,138.16646269999998,0,43.8,0.7,14.0,High income
Barbados,2000,73.3,7.43,1140.615754,0,43.0,0.9,14.0,High income
Belarus,2014,72.0,13.94,1147.1114,64,61.7,0.1,15.7,Upper middle income
Belarus,2013,71.7,14.66,1109.854619,16,61.1,0.1,15.7,Upper middle income
Belarus,2012,71.9,16.35,91.70962117,10,6.5,0.1,15.6,Upper middle income
Belarus,2011,72.0,17.31,846.9113071,50,59.9,0.1,15.5,Upper middle income
Belarus,2010,73.0,14.44,8.49409518,1,59.3,0.1,15.5,Upper middle income
Belarus,2009,70.0,14.09,434.7985025,0,58.7,0.1,15.4,Upper middle income
Belarus,2008,70.0,14.67,501.8056141,0,58.2,0.1,15.1,Upper middle income
Belarus,2007,69.8,14.22,464.077513,1,57.7,0.1,14.9,Upper middle income
Belarus,2006,68.9,12.6,364.426052,149,57.2,0.1,14.6,Upper middle income
Belarus,2005,68.1,11.01,45.65007798,1,56.7,0.1,14.4,Upper middle income
Belarus,2004,68.2,12.05,42.33443901,2,56.2,0.1,14.1,Upper middle income
Belarus,2003,67.7,11.17,23.83578594,21,55.8,0.1,13.9,Upper middle income
Belarus,2002,67.2,12.23,145.4233629,14,55.3,0.1,13.6,Upper middle income
Belarus,2001,67.7,10.74,14.06141699,45,54.9,0.1,13.3,Upper middle income
Belarus,2000,68.0,12.98,24.24947846,21,54.4,0.1,13.1,Upper middle income
Belgium,2014,89.0,12.6,7163.348923000001,70,63.4,0.1,16.3,High income
Belgium,2013,87.0,11.77,702.359357,39,63.0,0.1,16.3,High income
Belgium,2012,83.0,10.08,664.4738974999998,109,62.6,0.1,16.2,High income
Belgium,2011,83.0,10.11,713.5297353999998,576,62.3,0.1,16.1,High income
Belgium,2010,80.0,10.22,665.7356115,40,61.9,0.1,15.9,High income
Belgium,2009,79.8,10.05,671.9376566000002,33,61.6,0.1,15.8,High income
Belgium,2008,79.5,10.47,7191.051506999999,98,61.3,0.1,15.8,High income
Belgium,2007,79.5,10.25,640.3560918,64,6.9,0.1,15.8,High income
Belgium,2006,79.4,10.98,5579.199083,15,6.6,0.1,15.7,High income
Belgium,2005,78.9,12.27,5068.214488000001,26,6.2,0.1,15.7,High income
Belgium,2004,78.8,12.05,5160.508378,61,59.8,0.1,18.8,High income
Belgium,2003,78.3,11.28,507.306164,44,59.4,0.1,18.6,High income
Belgium,2002,78.0,11.29,320.3177664,0,59.0,0.1,18.8,High income
Belgium,2001,78.0,11.01,2943.375396,83,58.5,0.1,18.2,High income
Belgium,2000,77.6,11.21,287.20845289999994,0,58.1,0.1,18.0,High income
Belize,2014,70.0,6.58,670.0920883,0,5.1,0.2,12.8,Upper middle income
Belize,2013,69.8,6.56,629.2018591,0,49.3,0.2,12.9,Upper middle income
Belize,2012,69.4,6.66,582.8027185,0,48.5,0.1,12.5,Upper middle income
Belize,2011,69.4,6.64,605.6286892,0,47.8,0.5,12.4,Upper middle income
Belize,2010,69.5,6.76,569.9527122000002,0,47.0,0.2,12.4,Upper middle income
Belize,2009,69.5,6.85,549.8096097,0,46.3,0.3,12.7,Upper middle income
Belize,2008,69.6,7.22,51.25232422,0,45.7,0.1,12.8,Upper middle income
Belize,2007,69.6,7.24,69.63051047,0,45.0,0.6,12.8,Upper middle income
Belize,2006,69.4,6.48,387.3324928,0,44.4,0.6,12.3,Upper middle income
Belize,2005,69.0,6.25,365.799896,0,43.8,0.8,12.8,Upper middle income
Belize,2004,68.7,6.2,325.6807462,0,43.2,0.8,12.5,Upper middle income
Belize,2003,68.4,5.67,312.7995946000001,0,42.6,1.5,12.2,Upper middle income
Belize,2002,68.5,4.99,262.82991890000005,0,42.0,0.1,11.9,Upper middle income
Belize,2001,68.2,4.9,251.6586929,0,41.4,0.4,11.8,Upper middle income
Belize,2000,68.3,4.79,219.0239836,0,4.8,0.3,11.7,Upper middle income
Benin,2014,59.7,0.01,90.12206791,786,25.2,1.1,10.7,Lower middle income
Benin,2013,59.5,0.01,87.40804229999998,637,24.6,1.2,10.3,Lower middle income
Benin,2012,59.3,0.01,9.80407467,288,24.1,1.3,10.0,Lower middle income
Benin,2011,59.1,1.4,110.2633619,426,23.5,1.4,9.8,Lower middle income
Benin,2010,58.7,1.33,94.25737917,392,23.0,1.4,9.5,Lower middle income
Benin,2009,58.4,1.16,71.01399249,1461,22.5,1.6,9.3,Lower middle income
Benin,2008,57.6,1.28,7.6154301260000015,928,22.0,1.8,9.1,Lower middle income
Benin,2007,57.1,1.12,7.49281752,341,21.5,2.0,8.9,Lower middle income
Benin,2006,56.8,1.19,75.91429496,176,21.0,2.0,8.7,Lower middle income
Benin,2005,56.5,1.13,7.106997355,210,2.5,2.1,8.5,Lower middle income
Benin,2004,56.1,1.15,10.73628066,262,2.1,2.1,8.1,Lower middle income
Benin,2003,55.8,1.35,8.931827297,217,19.7,2.1,7.7,Lower middle income
Benin,2002,55.6,1.23,40.48815233,1588,19.2,2.1,7.3,Lower middle income
Benin,2001,55.5,1.29,45.33476384,5859,18.8,2.1,6.6,Lower middle income
Benin,2000,55.4,1.34,37.38182018,4244,18.4,2.0,6.4,Lower middle income
Bhutan,2014,69.4,0.01,209.3921344,0,23.6,0.5,12.5,Lower middle income
Bhutan,2013,69.1,0.01,19.79057439,0,22.7,0.6,12.6,Lower middle income
Bhutan,2012,68.7,0.01,188.7373664,1,21.9,0.6,12.3,Lower middle income
Bhutan,2011,68.3,0.23,289.8524057,10,21.1,0.5,11.9,Lower middle income
Bhutan,2010,67.9,0.28,244.0391949,21,2.3,0.5,11.4,Lower middle income
Bhutan,2009,67.4,0.17,27.48907048,6,19.5,0.4,10.9,Lower middle income
Bhutan,2008,67.0,0.21,302.667579,7,18.8,0.4,10.5,Lower middle income
Bhutan,2007,66.5,0.16,283.806236,11,18.0,0.3,10.1,Lower middle income
Bhutan,2006,65.8,0.29,169.2023968,2,17.4,0.3,9.6,Lower middle income
Bhutan,2005,65.0,0.73,145.5965445,11,16.7,0.3,9.2,Lower middle income
Bhutan,2004,64.2,0.96,2.586698228,3,16.1,0.3,8.8,Lower middle income
Bhutan,2003,63.3,0.52,19.15664091,0,15.5,0.2,8.4,Lower middle income
Bhutan,2002,62.5,0.29,151.97551930000003,27,14.9,0.1,8.0,Lower middle income
Bhutan,2001,61.7,0.14,8.574029812000001,756,14.4,0.1,7.6,Lower middle income
Bhutan,2000,62.0,0.17,93.35872844,418,13.9,0.1,7.3,Lower middle income
Bolivia,2014,74.0,3.62,0.0,0,51.9,0.1,13.8,Lower middle income
Bolivia,2013,71.0,3.78,0.0,0,51.2,0.1,13.8,Lower middle income
Bolivia,2012,69.8,3.89,0.0,0,5.6,0.1,13.8,Lower middle income
Bolivia,2011,69.3,3.93,0.0,0,49.9,0.2,13.8,Lower middle income
Bolivia,2010,68.7,3.95,0.0,0,49.3,0.2,13.8,Lower middle income
Bolivia,2009,68.0,3.87,0.0,0,48.6,0.2,13.8,Lower middle income
Bolivia,2008,67.4,3.77,0.0,0,48.0,0.2,14.0,Lower middle income
Bolivia,2007,66.8,3.47,0.0,0,47.3,0.2,14.1,Lower middle income
Bolivia,2006,66.2,3.23,0.0,0,46.7,0.2,14.3,Lower middle income
Bolivia,2005,65.7,2.86,0.0,0,46.0,0.2,14.4,Lower middle income
Bolivia,2004,65.1,2.66,0.0,0,45.4,0.2,14.6,Lower middle income
Bolivia,2003,64.5,2.37,0.0,0,44.7,0.2,14.4,Lower middle income
Bolivia,2002,63.9,2.26,0.0,0,44.0,0.1,14.0,Lower middle income
Bolivia,2001,63.3,2.2,0.0,0,43.3,0.1,13.7,Lower middle income
Bolivia,2000,62.6,2.32,0.0,122,42.6,0.1,13.3,Lower middle income
BosniaandHerzegovina,2014,77.2,4.03,732.8662491,3000,55.3,0.1,14.2,Upper middle income
BosniaandHerzegovina,2013,77.0,4.12,75.61062911,0,54.7,0.1,14.2,Upper middle income
BosniaandHerzegovina,2012,76.8,4.61,693.8226461,22,54.2,0.1,13.9,Upper middle income
BosniaandHerzegovina,2011,76.9,4.64,7.959131146,10,53.7,0.1,13.4,Upper middle income
BosniaandHerzegovina,2010,76.4,4.54,630.3883563999998,45,53.1,0.1,13.3,Upper middle income
BosniaandHerzegovina,2009,76.1,4.75,645.021302,22,52.6,0.1,13.3,Upper middle income
BosniaandHerzegovina,2008,76.0,5.13,66.04635027,8,52.1,0.1,13.1,Upper middle income
BosniaandHerzegovina,2007,75.4,5.16,8.240355867,166,51.5,0.1,12.9,Upper middle income
BosniaandHerzegovina,2006,75.7,4.82,38.25414065,17,51.0,0.1,12.7,Upper middle income
BosniaandHerzegovina,2005,75.0,4.56,45.71354264,23,5.5,0.1,12.5,Upper middle income
BosniaandHerzegovina,2004,75.5,4.25,3.479918859,28,49.9,0.1,12.3,Upper middle income
BosniaandHerzegovina,2003,75.2,4.14,39.86518043,18,49.4,0.1,12.1,Upper middle income
BosniaandHerzegovina,2002,75.4,3.84,151.1399301,28,48.8,0.1,11.9,Upper middle income
BosniaandHerzegovina,2001,74.9,3.85,143.2947487,0,48.2,0.1,11.6,Upper middle income
BosniaandHerzegovina,2000,74.6,3.64,165.6168642,43,47.6,0.1,0.0,Upper middle income
Botswana,2014,65.1,0.01,662.802194,1,37.3,2.3,12.6,Upper middle income
Botswana,2013,64.2,0.01,1.117811275,1,36.8,2.8,12.6,Upper middle income
Botswana,2012,63.4,0.01,12.83447357,7,36.2,4.4,12.5,Upper middle income
Botswana,2011,62.2,5.76,668.9562854,8,35.7,5.5,12.4,Upper middle income
Botswana,2010,61.1,5.99,547.0386679,853,35.2,6.2,12.3,Upper middle income
Botswana,2009,59.2,5.01,426.7855662,184,34.7,9.0,12.2,Upper middle income
Botswana,2008,57.5,6.56,476.8625872,0,34.2,12.7,12.1,Upper middle income
Botswana,2007,56.9,6.21,512.5887995,1,33.7,13.4,12.1,Upper middle income
